,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ?????????? ????????????  , ?????????? ????????????  , ?????????? ????????????  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A,,,A1,,B,C1,C2,C3,D1 = B +C1,D2 = B +C2,D3 = B +C3,E1,E2,E3,F = E2 - D2,G=F/D2,H1,H2,H3,I1,I2,I3,,,,,,,,,,,,,,,,,,,,
,,,,???????? (?.?.-?.?.2025),????????????? (?.?.-?.?.2026),,,???????? Revise (?.?.-?.?.2026),,,???????? (?.?-?.?.2026),???????? (?.?-?.?.2026),,,???????? + ???????? (?.?.-?.?.2026),,,???????? (?.?.-?.?.2027),,,?????? ,%Growth,???????? (?.?.-?.?.2028),,,???????? (?.?.-?.?.2029),,,,,,,,,,,,,,,,,,,,,,
 Note , ????? , ????????? ,?????,2568,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2569,2570,2570,2570, (?????) - ??,,2571,2571,2571,2572,2572,2572,????????,,,,,,,,,,,,,,,,,,,
,,,,Realistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,Realistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,,,Optimistic,Realistic,Pessimistic,Optimistic,Realistic,Pessimistic,,,,,,,,,,,,,,,,,,,,
a,1,?????????? ???????,???, -   ," 788,000 "," 768,000 "," 748,000 "," 788,000 "," 768,000 "," 748,000 "," 542,924 ", -   , -   , -   ," 542,924 "," 542,924 "," 542,924 ", -   , -   , -   ,"(542,924)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,1.1,??????,???, -   ," 754,400 "," 735,400 "," 716,400 "," 754,400 "," 735,400 "," 716,400 "," 514,395 ", -   , -   , -   ," 514,395 "," 514,395 "," 514,395 ", -   , -   , -   ,"(514,395)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,1.2,??????????,???, -   ," 33,600 "," 32,600 "," 31,600 "," 33,600 "," 32,600 "," 31,600 "," 28,529 ", -   , -   , -   ," 28,529 "," 28,529 "," 28,529 ", -   , -   , -   ,"(28,529)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
,1.3,% ??????,%,0%,96%,96%,96%,96%,96%,96%,95%,0%,0%,0%,95%,95%,95%,0%,0%,0%,(95%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,1.4,% ??????????,%,0%,4%,4%,4%,4%,4%,4%,5%,0%,0%,0%,5%,5%,5%,0%,0%,0%,(5%),(100)%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,
,2,????????,???, -   ," 764,400 "," 744,400 "," 724,400 "," 764,400 "," 744,400 "," 724,400 "," 518,336 ", -   , -   , -   ," 518,336 "," 518,336 "," 518,336 ", -   , -   , -   ,"(518,336)",(100)%, -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,
